,cleaned_event,cleaned_venue,cleaned_place,cleaned_date
219,LUNCH,COMMERCIAL,"75TH STREET AND COLUMBUS AVE,NEW YORK,NY",1900-02-20
220,DAILY,COMMERCIAL,"WEST 125TH STREET,NEW YORK,NY",1900-02-20
221,LUNCH,COMMERCIAL,"LONDON,ENGLAND",1900-02-20
222,BREAKFAST,COMMERCIAL,,1900-02-21
223,BREAKFAST,COMMERCIAL,SS ETRURIA,1900-02-21
224,BREAKFAST,COMMERCIAL,"ASHEVILLE,NC",1900-02-21
225,BREAKFAST,COMMERCIAL,"117 WEST 34TH STREET,NEW YORK,NY",1900-02-21
226,DINNER,COMMERCIAL,RMS LUCANIA,1900-04-23
227,BREAKFAST,COMMERCIAL,RMS EMPRESS OF CHINA,1900-04-23
228,BREAKFAST,COMMERCIAL,"UNION SQUARE,NEW YORK,NY",1900-04-23
229,BILL OF FARE,COMMERCIAL,"UNION SQUARE,NEW YORK,NY",1900-04-23
230,BREAKFAST,COMMERCIAL,"PANAMA LINE,CITY OF PARA",1900-04-23
231,DINNER,COMMERCIAL,"PANAMA LINE,CITY OF PARA",1900-04-23
232,ANNUAL BANQUET,EDUC,"SOUTHERN HOTEL,ST.LOUIS,MO",1900-04-24
233,DNNER,COMMERCIAL,R.M.S. EMPRESS OF CHINA,1900-04-24
234,"DINNER GIVEN TO MR. F.W. MANN, LIEUT. A.I.R., PREVIOUS TO HIS DEPARTURE FOR SOUTH AFRICA",COMMERCIAL,"MELBOURNE, AUSTRALIA",1900-04-25
235,LUNCH,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,1900-04-25
236,DINNER,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,1900-04-25
237,LUNCHEON,COMMERCIAL,R.M.S. LUNCANIA,1900-04-25
238,DINNER,COMMERCIAL,EN ROUTE ABOARD S.S. SOUTHWARK,1900-02-27
239,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD S.S. WESTERNLAND,1900-02-28
240,DINNER,COMMERCIAL,NAPLES ITALY,1900-02-27
